id,city_name_ar,city_name_en,region_name_ar,region_name_en,availability,available_units,available_auctions_units,bookable,developer_name,max_area,max_bed_room,max_price,min_area,min_bed_room,min_price,project_name,project_type,publish_date,construction_status,unit_type,views_count,location
project_404,بدر,BADR,المدينة المنورة,Madinah,0,0,0,1,لا يوجد مدخل,450.0,1,0.0,450.0,1,0.0,مخطط إسكان بدر - بدر,lands_moh_land,2022-01-20,no entry,land,19030,"23.792337,38.724246"
project_728,الدوادمي,AD DUWADIMI,الرياض,Riyadh,1,353,0,1,لا يوجد مدخل,1336.74843661115,1,0.0,580.871898192912,1,0.0,144 - وادي الرشاء,lands_moh_land,2022-06-30,no entry,land,5253,"24.54346,43.958677"
project_407,حائل,HAIL,حائل,Ha'il,0,0,0,1,لا يوجد مدخل,669.31,1,0.0,421.46,1,0.0,مخطط إسكان حائل - حائل,lands_moh_land,2022-01-20,no entry,land,123779,"27.508793,41.77225"
project_408,تيماء,TAYMA',تبوك,Tabuk,0,0,0,1,لا يوجد مدخل,515.5,1,0.0,460.0,1,0.0,مخطط إسكان تيماء - تيماء,lands_moh_land,2022-01-20,no entry,land,27299,"27.619375,38.490426"
project_411,سكاكا,SAKAKA,الجوف,Jawf,0,0,0,1,لا يوجد مدخل,777.067,1,0.0,479.995,1,0.0,مخطط إسكان سكاكا 2 - سكاكا,lands_moh_land,2022-01-20,no entry,land,27008,"29.807707,40.167496"
project_410,عنيزة,UNAYZAH,القصيم,Qassim,0,0,0,1,لا يوجد مدخل,541.25,1,0.0,497.0,1,0.0,مخطط إسكان عنيزة - عنيزة,lands_moh_land,2022-01-20,no entry,land,1675753,"26.060963,44.095049"
project_413,عرعر,AR'AR,الحدود الشمالية,Northern Borders,0,0,0,1,لا يوجد مدخل,500.0,1,0.0,492.0,1,0.0,مخطط إسكان عرعر - عرعر,lands_moh_land,2022-01-20,no entry,land,17726,"31.013132,41.054961"
project_424,قرية (قرية العليا),QARYAT AL 'ULYA,المنطقة الشرقية,Eastern Province,1,5,0,1,لا يوجد مدخل,1000.0,1,0.0,600.0,1,0.0,مخطط العليا - قرية العليا,lands_moh_land,2022-01-20,no entry,land,23036,"27.019028,47.051472"
project_457,القويعية,QUWAY'IYAH,الرياض,Riyadh,0,0,0,1,لا يوجد مدخل,1065.648077,1,0.0,500.0,1,0.0,مخطط روضة الصفا - القويعية,lands_moh_land,2022-01-20,no entry,land,54878,"24.098672,45.309165"
project_489,بريدة,BURAYDAH,القصيم,Qassim,1,16,16,0,لا يوجد مدخل,982.952053,1,0.0,452.830401,1,0.0,مخطط خب الروضان - بريدة,lands_moh_land,2022-01-20,no entry,land,64816,"26.252625,43.911115"
project_573,الدرب,AD DARB,جازان,Jizan,0,0,0,1,لا يوجد مدخل,550.0,1,0.0,450.0,1,0.0,مخطط روابي عتود  - الدرب,lands_moh_land,2022-01-20,no entry,land,548507,"17.638249,42.236922"
project_579,شرورة,SHARURAH,نجران,Najran,0,0,0,1,لا يوجد مدخل,550.0041,1,0.0,449.9956,1,0.0,مخطط درة شرورة - شرورة,lands_moh_land,2022-01-20,no entry,land,2199223,"17.511119,47.051395"
project_727,ثادق,THADIQ,الرياض,Riyadh,0,0,0,1,لا يوجد مدخل,747.999999999351,1,0.0,599.999999971741,1,0.0,مخطط ثادق 717,lands_moh_land,2022-06-30,no entry,land,6513,"25.652161,46.365477"
project_586,خميس مشيط,KHAMIS MUSHAYT,عسير,'Asir,1,13,0,0,لا يوجد مدخل,706.676121,1,0.0,376.749647,1,0.0,مخطط درة الخميس - خميس مشيط,lands_moh_land,2022-01-20,no entry,land,1954413,"18.425191,42.715984"
project_595,بئر خباش,BIR KHUBASH,نجران,Najran,0,0,0,1,لا يوجد مدخل,550.0,1,0.0,475.0,1,0.0,مخطط أزهار الوفاء - خباش,lands_moh_land,2022-01-20,no entry,land,272842,"17.522757,44.679211"
project_602,صبيا,SABYA,جازان,Jizan,1,4,0,0,لا يوجد مدخل,612.5,1,0.0,411.6,1,0.0,مخطط روضة نخلان - صبيا,lands_moh_land,2022-01-20,no entry,land,1327905,"17.21360696,42.62261421"
project_5,الرياض,AR RIYADH,الرياض,Riyadh,0,0,0,1,الشركة الوطنية للإسكان,317.5,6,1674180.0,133.0,2,299250.0,مرسية - الرياض,offplan_moh_land,2022-01-06,under_construction,apartment,402475,"24.953067,46.627008"
project_15,ابها,ABHA,عسير,'Asir,1,48,0,1,علي شار,500.0,5,1594448.0,250.0,3,577000.0,تلال أبها - أبها,offplan_moh_land,2022-01-06,under_construction,townhouse,82119,"18.286109,42.513347"
project_60,القطيف,AL QATIF,المنطقة الشرقية,Eastern Province,0,0,0,1,الرائم للمقاولات,213.0,4,410753.0,213.0,4,410753.0,القطيف البدراني -  القطيف,offplan_moh_land,2022-01-06,under_construction,apartment,7066,"26.526407,49.972012"
project_130,الخبر,AL KHUBAR,المنطقة الشرقية,Eastern Province,0,0,0,1,دار واعمار للاستثمار والتطوير العقاري,319.66,4,1025000.0,200.12,4,744000.0,سرايا الغروب  - الخبر,offplan_private_land,2022-01-06,under_construction,villa,4713,"26.199053,50.184197"
